Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
received Time: 5392.700000002087	 sent Time 5285.400000001697
received Time: 5414.000000002165	 sent Time 5285.400000001697
received Time: 5406.500000002137	 sent Time 5285.400000001697
received Time: 7017.400000007998	 sent Time 5285.400000001697
received Time: 8287.200000012617	 sent Time 5285.400000001697
received Time: 7348.600000009203	 sent Time 5285.400000001697
received Time: 6343.300000005545	 sent Time 5285.400000001697
received Time: 7017.200000007997	 sent Time 5285.400000001697
received Time: 7408.100000009419	 sent Time 5285.400000001697
received Time: 6342.900000005544	 sent Time 5285.400000001697
received Time: 5537.000000002612	 sent Time 5285.400000001697
received Time: 6106.600000004684	 sent Time 5285.400000001697
received Time: 7178.200000008583	 sent Time 5285.400000001697
received Time: 5800.700000003571	 sent Time 5285.400000001697
received Time: 6342.100000005541	 sent Time 5285.400000001697
received Time: 7407.900000009418	 sent Time 5285.400000001697
received Time: 6772.800000007108	 sent Time 5285.400000001697
received Time: 5800.800000003572	 sent Time 5285.400000001697
received Time: 5564.700000002713	 sent Time 5285.400000001697
received Time: 6172.400000004924	 sent Time 5285.400000001697
received Time: 8285.30000001261	 sent Time 5285.400000001697
received Time: 5301.300000001755	 sent Time 5285.400000001697
received Time: 8285.900000012613	 sent Time 5285.400000001697
received Time: 5672.200000003104	 sent Time 5285.400000001697
received Time: 6342.200000005541	 sent Time 5285.400000001697
received Time: 5451.600000002301	 sent Time 5285.400000001697
received Time: 5434.300000002238	 sent Time 5285.400000001697
received Time: 5336.700000001883	 sent Time 5285.400000001697
received Time: 5434.400000002239	 sent Time 5285.400000001697
received Time: 5428.300000002217	 sent Time 5285.400000001697
received Time: 5565.7000000027165	 sent Time 5285.400000001697
received Time: 7017.900000008	 sent Time 5285.400000001697
received Time: 6172.100000004923	 sent Time 5285.400000001697
received Time: 5721.100000003282	 sent Time 5285.400000001697
received Time: 7162.000000008524	 sent Time 5285.400000001697
